Mfg/Vendor Name,Mfg/Vendor Part Number,Detailed Item Description
3M,051141-27400,FIBER DISC 4-1/2X7/8 982C 36GR CER A/O whom being is the in
3M,051141-27402,"7X7/8"" 36GRIT CUBITRON II, 982C DISC,"
3M,051141-27402,FIBER DISC 7X7/8 982C 36GR CER A/O
3M,051141-55567,"STIKIT P320 6"" 100/PK, 051141-55567,"
3M,051141-7400,"4-1/2X7/8 36XX CUBITRON II, ,"
3M,051144-014392,"STIKIT P180 6"" 175/PK, 051144-014392,"
3M,051144-01443,"STIKIT P80 6"" 125/PK, 051144-01443,"
3M,051144-45190,DISC PAD HUB 45190 4-1/2 5/8-11 INTNL
3M,051144-80514,3M DISC PAD FACE PLATE
3M,51144-96434,"51144-96434 3M STIKIT, 216U 320XX, 6 ROLL MIN"
Eberle,M42,"11'6"" x 1 x .035 x 5/8TPI, EBERLE DUOFLEX M42,"
Merit,8834166219,"DC FBR 3"" TYP 3 36 GRIT F986 CER ALOX"
Merit,8834196072,BND SPRL 1X1 36ARB ALOX
Monster Tool,SA-5,"SA-5 DOUBLE CUT BURR, ,"
Monster Tool,SL-4,"SL-4 DOUBLE CUT BURR, ,"
Norton,8834131259,"1X1X1/4 40XX FLAP, 10/BX, 08834131259"
Norton,8834163447,"N13695, , 08834163447"
Norton,8834166041,"N12649, , 08834166041"
Norton,8834166041,"2""TR DISC 36GRIT, , 08834166041"
Norton,8834166041,"2""TR DISC 36GRIT, 100/BX, 08834166041"
Norton,8834166044,"2"" 60 GRIT TR DISC, N12650,"
Norton,8834166045,"2"" 80XX TYPE 3 DISC, , 08834166045"
Norton,8834166219,"3""MERIT TR 36XX DISC, , 08834166219"
Norton,8834166219,"3""MERIT TR 36XX DISC, 50/BX, 08834166219"
Norton,8834166221,"3"" 60 GRIT TR DISC, N12653,"
Norton,66243510647,"3 X 1/16 X 3/8 A36-TBFW, CUTOFF WHEEL GOLD, 66243510647"
Norton,66243510647,3x1/16x3/8 A/O FC
Norton,66252836497,", 4-1/2X.045X7/8 TY.27, 66252836497"
Norton,66252843214,"4-1/2X1/4X7/8 TY.27, , 66252843214"
Norton,66261009190,"2""MED TR SC DISC, , 66261009190"
Norton,66261009194,"3""COARSE TR SC DISC, 25/BX, 66261009194"
Norton,66261017522,SCF-NP DISC TR SPEED-LOK 3 BL
Norton,66261017522,"3""MED TR SC DISC, 25/BX  MAROON, 66261017522"
Norton,66261017522,"3""MED TR SC DISC, , 66261017522"
Norton,66261138675,"3""24GRIT BLUE FIRE, 66261138675"
Norton,69957398027,3/4 X 18 R980 40-Y SG-BLAZE
-,-,CONDUIT 1-1/4 EMT Galvanized
A-B Power Products,100-C16D10,A-B 100-C16D10 3P 110-120 CNT
A-B Power Products,100-C30D10,A-B 100-C30D10 3P 110-120 CNT
Advance Blsts,71A6552001,ADV 71A6552001 MH BAL 1000W M475-TAP KIT
Advance Blsts,MD2409100,ADV MD2409100 CAPACITOR OIL 24MFD480V 1.75 X 3.90
Carol,09410.99.01,"Portable Cord,14/10AWG,Cut to Length,Blk"
Cutler Hammer,DH361FGK,CHD DH361FGK 30A/3P HD FUSIBLESAFETY SWITCH 600V NEMA 1
Cutler Hammer,DH363FGK,CHD DH363FGK 100A/3P HD FUSIBLESAFETY SWITCH 600V NEMA 1
Dayton,6Z426,"Speed Reducer,Indirect Drive,,30:1"
Dixon,PR325,"Data Logger,Pressure Range 0 to 300 PSI"
Eaton,10250T2,"Contact Block,2NO,30mm"
Fluke,FLUKE-116-NIST,"Digital HVAC Multimeter,600V,40 MOhms"
GE Panel,TEY315,GE TEY315 3 POLE 480 VOLT BREAKER
GE Panel,TEY320,GE TEY320 3P-480V-20A CB
Hubbell Wiring,CS8164C,HUBW CS-8164-C 3PL 4WR LKG-CO
Hubbell Wiring,CS8165C,HUBW CS-8165-C 3PL 4WR LKG
Littelfuse,LA30QS100-4,L-FSE LA30QS100-4 LA30QS1004 VERYFAST-ACTING SEMICONDUCTOR FUSE
Littelfuse,LLSRK030ID,L-FSE LLSRK030ID LSRK030.TXID ULCLASS RK1 DUAL ELEMENT TIME DELAYINDICATOR FUSE
Littelfuse,LLSRK070ID,L-FSE LLSRK070ID LSRK070.VXID ULCLASS RK1 DUAL ELEMENT TIME DELAYINDICATOR FUSE
Littelfuse,LLSRK100ID,L-FSE LLSRK100ID LSRK100.VXID ULCLASS RK1 DUAL ELEMENT TIME DELAYINDICATOR FUSE
Marathon Motors,056C17F5352,"Brake Motor,TEFC,1/3 HP,56C,115/208-230"
Philips Lighting,281188,281188 PHIL MP1000/BU MTL HAL LAMP
Siemens,BOS14353,SIEMENS BOS14353 100A FUSIBLE SW P
Siemens,BOS14353,"Bus Plug,100A,3 Pole,600Vac"
Sola,SDN524100C,SOLA SDN5-24-100C 24V 5A 120VDIN RAIL MT POWER SUPPLY
Square D,2601AG2,"Switch,Drum Reversing"
Square D,8502SBO1V02S,"Contactor,NEMA,120VAC,2P,18A"
Square D,8536SBO2V02S,"Magnetic Motor Starter,NEMA,120V,3P,18A"
Square D,8536SDO1V02S,"Magnetic Motor Starter,NEMA,120V,3P,45A"
Square D,8903LO60V02,SQD 8903LO60V02 LIGHTING CONTACTOR
Weigmann,N12363012,"Enclosure,36 In.Hx30 In.Wx12 In. D"
-,CR250,"CR2450 LITHIUM BATTERY, ,"
3M,051131-06656,"3M Automotive Refinish Masking Tape, 48mm x 55m, 6.3mil"
3M,051135-08300,"3M ULTRA PRO SEALANT, 051135-08300,"
Akro-Mils,19909,"Drawer Bin Cabinet,11 In. D,17 In. W"
Campbell,502277,"9-1/2"" GX Lift Clamp"
Chicaco Pneumatic,CP9106QB,GRNDR 90 DEG ANG DIE 24000 RPM
Chicaco Pneumatic,CP9122BR,"ANG GRNDR 4-1/2"""
Chicaco Pneumatic,T023995,"CP875 1/4"" MINI 90° ANG DIE GRNDR"
Clean Choice,CC700,CC700 PerfBox 100ct
Dayton,1MDB1,"Pressure Washer Pump,2200 PSI"
Dewalt,DCB100,"Battery Charger,12.0V,Li-Ion"
